,EAN,,Name,,,,,,EKN
,11575,0,Ananas Extra Sweet 9-10  CI/CR,St,S,101,7,0,"2,50 €"
,11590,0,Erdbeeren 500g ,500g,L,101,7,0,"5,60 €"
,11600,0,Aprikosen   IT,kg,L,101,7,0,"4,30 €"
,11599,0,Nektarinen gelb Cal. A      IT,kg,L,101,7,0,"4,49 €"
,11596,0,Pfirsich gelb   Cal.A/B     ES,kg,L,101,7,0,"3,35 €"
,11533,0,Süßkartoffeln,kg,L,101,19,0,"3,59 €"
,11550,0,Chinakohl,kg,L,101,7,0,"2,25 €"
,11552,0,Kohlrabi,St,L,101,7,0,"0,99 €"
,11551,0,Blumenkohl    ,St,br,101,7,0,"2,00 €"
,11603,0,kbo Postkarte,St,KBO,606,19,0,"2,00 €"
,11607,0,Kosmetikpads Set,St,KBO,602,19,0,"4,50 €"
,11608,0,"Pfand Kiste 1,50€",St,,9999,19,0,"1,50 €"
,11619,0,Grünkohl                Bayern,kg,br,101,7,0,"3,64 €"
,11622,0,Auberginen          ,kg,br,101,7,0,"4,99 €"
,13760,0,Brotzeitei,St,,102,7,0,"0,54 €"
,11639,0,"Kamillentee, Bio",Kg,,502,7,0,"30,40 €"
,900414590507,0,BIO BASEN FRÜCHTETEE,kg,STN,502,7,0,"21,50 €"
,11642,0,"Assamtee, Bio",kg,STN,502,7,0,"30,90 €"
,11644,0,"Glückstee, Bio",kg,STN,502,7,0,"41,35 €"
,11645,0,Zitronengras Bio,kg,STN,502,7,0,"21,00 €"
,11647,0,"Pfefferminztee, Bio",kg,STN,502,7,0,"23,20 €"
,11649,0,Pizzagewürz,kg,STN,301,7,0,"24,90 €"
,11650,0,Oregano Bio,kg,STN,301,7,0,"17,30 €"
,11652,0,Koriander ganz Bio,kg,STN,301,7,0,"10,00 €"
,11654,0,Popcorn Mais,kg,STN,201,7,0,"3,10 €"
,11653,0,"Gunpowder, Bio",kg,STN,502,7,0,"18,70 €"
,78422852892,0,Zahnseide 30m,St,CHIN,602,19,0,"2,98 €"
,78422852894,0,Vegane Zahnseide 30m,St,CHIN,602,19,0,"2,98 €"
,78422852917,0,Wattestäbchen 200er,St,CHIN,602,19,0,"1,70 €"
,78422852919,0,Vegane Zahnseide 60m Nachfüller,St,CHIN,602,19,0,"3,28 €"
,11655,0,Waschmittel,kg,ULR,603,19,0,"3,22 €"
,11656,0,Waschmittel Citrus,kg,ULR,603,19,0,"3,85 €"
,11657,0,Waschmittel Pulver,kg,ULR,603,19,0,"4,65 €"
,11658,0,Spülmittel Aloe Vera,kg,ULR,603,19,0,"2,75 €"
,11659,0,Spülmaschinenentabs,kg,ULR,603,19,0,"9,86 €"
,11660,0,Klarspüler f. Spülmaschine,kg,ULR,603,19,0,"2,49 €"
,11661,0,Regeneriersalz,kg,ULR,603,19,0,"1,50 €"
,11662,0,Universalreiniger Citrus,kg,ULR,603,19,0,"3,86 €"
,11663,0,WC Reiniger mit Milchsäure,kg,ULR,603,19,0,"6,47 €"
,11664,0,Entkalker,kg,ULR,603,19,0,"3,39 €"
,11665,0,"Leinölhandseife mit ätherischen, Bio",kg,ULR,603,19,0,"8,27 €"
,11666,0,"Espresso, Bio",kg,SCHN,502,7,0,"22,71 €"
,11667,0,"Bavariakaffee, Bio",kg,SCHN,502,7,0,"22,29 €"
,11668,0,"Espresso Pacha Mama, Bio",kg,SCHN,502,7,0,"24,81 €"
,725,0,Baguette 1/2,St,BROT,104,7,0,"1,87 €"
,11675,0,Zucchini Billesberger,kg,br,101,7,0,"3,20 €"
,11680,0,Himbeeren Ohne Deckel   Bayern,125g,br,101,7,0,"3,25 €"
,11682,0,Sojaschnetzel Grob,kg,,304,7,0,"6,75 €"
,11683,0,Säckchen 15x15,St,,601,19,0,"2,50 €"
,11685,0,Brotbeutel Leinen,St,,601,19,0,"13,57 €"
,426036585720,0,Mundöl Coconut,St,,0,19,0,"7,50 €"
,11700,0,Pflaumen rot       45-50    ES,kg,L,101,7,0,"5,20 €"
,590525564028,0,Quark Dessert mit Vanille,St,,102,7,0,"2,26 €"
,13324,0,Feigen schwarz              ES,kg,L,300,7,0,"8,18 €"
,13346,0,Nektarinen,kg,,0,7,0,"0,00 €"
,13330,0,Dinkel Körnerecke,St,PLZ,104,7,0,"0,82 €"
,13333,0,Schoko Croissant Polz,St,,104,7,0,"1,80 €"
,13334,0,Dinkel Baguette,St,,104,7,0,"3,86 €"
,13335,0,Nuss Ciabatta,St,,104,7,0,"1,85 €"
,13336,0,Tomaten Kräuter Ciabatta,St,,104,7,0,"1,85 €"
,13337,0,Breze Polz,St,,104,7,0,"0,66 €"
,13338,0,Siebenkorn Semmel,St,,104,7,0,"0,69 €"
,13339,0,Kürbiskasten,St,,104,7,0,"2,77 €"
,13340,0,Sonnenblumenkasten-VK,kg,,104,7,0,"4,40 €"
,13341,0,Eiweiß Brot VK,St,,104,7,0,"3,86 €"
,13328,0,VK-HirseBrot,St,PLZ,104,7,0,"2,56 €"
,13329,0,Knusperstangen Polz,St,PLZ,104,7,0,"1,32 €"
,13352,0,Ochsenherztomaten           I,kg,L,101,7,0,"3,43 €"
,13342,0,Siebenkornbrot VK  Polz,kg,PLZ,104,7,0,"4,50 €"
,13325,0,Frankenlaib,kg,PLZ,104,7,0,"4,07 €"
,13327,0,Salat Kamlah,St,,101,7,0,"1,20 €"
,13343,0,"Babysalat, Bio Kamlah",kg,,101,7,0,"11,00 €"
,13344,0,"Mini-Gurken, Kamlah",kg,,101,7,0,"4,50 €"
,13345,0,Mangold Kamlah,kg,,101,7,0,"3,55 €"
,13357,0,Pflaumen gelb       IT,kg,L,300,7,0,"3,05 €"
,13361,0,Dinkelseele,St,BROT,104,7,0,"1,90 €"
,13362,0,Dinkelseele Olive,St,BROT,104,7,0,"2,00 €"
,426247218083,0,Macadamia süss salzig,130g,TAA,303,7,0,"4,39 €"
,426047447041,0,Charity Limo Rot,"0,33l",PER,501,19,0,"1,09 €"
,403531540135,0,Waschmittel 1l,St,,603,7,0,"5,20 €"
,426047447038,0,Charity Limo Grün,"0,33l",PER,501,19,0,"1,09 €"
,10396,0,Dicke Bohnen frisch                DE,kg,L,300,7,0,"4,70 €"
,61991537507,0,Passata Hakuma Matata,St,,302,7,0,"2,99 €"
,13367,0,Duschgelspender,St,,600,19,0,"4,00 €"
,13370,0,Sandorini Schaumbad,kg,CMD,602,19,0,"12,16 €"
,13371,0,Shea Body Butter,kg,,602,19,0,"25,92 €"
,13372,0,"Olivenöl Armonia 2,5",Stück,f,302,7,0,"45,00 €"
,13373,0,Seifendosen rund,St,,600,19,0,"1,20 €"
,13385,0,Seifenspender 200 ml Glas Lotionspender,St,,601,19,0,"2,49 €"
,13386,0,Seifenspender 250 ml Glas Lotionspender,St,,601,19,0,"2,99 €"
,13387,0,Seifenspender 250 ml Lotionspender Kunststoff BPA frei,St,,601,19,0,"2,49 €"
,10112,0,Bordeaux 2014 - Ch. Haut-Pouchaud,St,,501,7,0,"7,50 €"
,13368,0,Buschbohnen,kg,,101,7,0,"5,00 €"
,401719446621,0,Mango Joghurt 250 g,St.,,102,7,0,"1,29 €"
,13369,0,"Olivenöl Armonia 0,5",St,,302,7,0,"11,00 €"
,13376,0,Auberginen ,kg,L,300,7,0,"3,10 €"
,13377,0,Gurkenmelone Barattiere     IT,kg,L,300,7,0,"2,45 €"
,13382,0,Himbeeren ohne Deckel       DE,125g,L,300,7,0,"3,99 €"
,13388,0,Lupinenkaffee,kg,,502,7,0,"10,63 €"
,13389,0,Topping Salatliebe,kg,,303,7,0,"12,51 €"
,13391,0,Stoffbeutel M,St,,601,19,0,"0,00 €"
,13392,0,Stoffbeutel S,St,,601,19,0,"0,00 €"
,13393,0,Stoffbeutel L,St,,601,19,0,"0,00 €"
,13394,0,Grüne Linsen,kg,,304,7,0,"5,72 €"
,13395,0,Cashew mit Joghurt und Schoko,St,,303,7,0,"0,00 €"
,13384,0,Rote Bete Kamlah,Kg,,101,7,0,"2,50 €"
,13390,0,KBO Tasche,St,,600,7,0,"7,00 €"
,13396,0,Gebrannte Mandeln Zucker/Zimt,St,,303,7,0,"0,00 €"
,426048563008,0,Zartbitterschokolade mit Baobab & Moringa,St,,402,7,0,"2,89 €"
,426077054010,0,"Grüne Oliven, entsteint, in Olivenöl",St,,302,7,0,"3,83 €"
,426036585706,0,Badesalz Aprikose,St,,602,19,0,"4,19 €"
,13397,0,Fruchttörtchen,St,,400,7,0,"1,31 €"
,13398,0,Pfeffer-Curry-Kurkuma Dinkel Kekse,Kg,,303,7,0,"13,00 €"
,13399,0,Brombeeren,125g,,101,7,0,"3,65 €"
,427000096640,0,Skat,St,SPK,600,19,0,"5,00 €"
,13400,0,Buchweizengrütze,kg,,201,7,0,"3,53 €"
,13401,0,Rotschalig Frühkartoffeln,Kg,,101,7,0,"1,95 €"
,13402,0,Mango Tarte,Kg,,104,7,0,"28,20 €"
,427000176553,0,Kombucha Rhabarber,"0,33l",,501,19,0,"2,64 €"
,410606003207,0,Ananassaft,St,BEU,501,19,0,"2,69 €"
,426056725014,0,Rasierklinge,St,ECY,602,19,0,"1,35 €"
,13555,0,Babyccino,St,,700,7,0,"0,00 €"
,978340171997,0,Tiere und Pflanzen beim Waldspaziergang,St,,605,7,0,"12,00 €"
,978340171901,0,Die Tiere in deiner Umgebung,St,,605,7,0,"12,00 €"
,978340109728,0,Wie leben die kleinen Waldameisen,St,,605,7,0,"11,20 €"
,978384585541,0,Italien,St,,605,7,0,"17,60 €"
,13416,0,Landgurken              Bayern,kg,br,300,7,0,"3,56 €"
,13428,0,Pfirsich Percoca ,kg,L,300,7,0,"3,35 €"
,13429,0,Brennnesselschwamm,St,,603,19,0,"9,00 €"
,13430,0,kl. Heinzelmännchen Tuch,St,,603,19,0,"6,00 €"
,13431,0,Bienenwachsrolle 100x50,St,,604,19,0,"16,50 €"
,13403,0,Weizenmehl 1050,kg,,201,7,0,"1,53 €"
,13432,0,Kaffee-Kakao Bohnen,St,,700,19,0,"0,00 €"
,13433,0,Dinkel Kokos Kekse,Kg,,402,7,0,"10,99 €"
,426056725027,0,Seifensäckchen,St,ECY,602,19,0,"4,12 €"
,11920,0,Balint's Dream Frucht-Nussmischung,kg,,303,7,0,"16,48 €"
,426235858142,0,Night Cream,kg,fasq,602,19,0,"104,74 €"
,426235858144,0,Facial Scrub Abfüll,kg,,602,19,0,"48,46 €"
,426056725033,0,Zahnseide Nachfüller weiß,St,ECY,602,19,0,"7,90 €"
,426035858148,0,Körperöl Apricot Abfüll,kg,fasq,602,19,0,"54,79 €"
,426056725035,0,Interdentalbürste ECY,St,ECY,602,19,0,"2,44 €"
,426056725009,0,Abschminkpads Baumwolle,St,ECY,602,19,0,"6,64 €"
,13450,0,Flaschentomate Kamlah,kg,GKM,101,7,0,"6,00 €"
,978340775710,0,Wo kommen unsere Sachen her?,St,,605,7,0,"0,00 €"
,426235858139,0,Zahncreme Spearmint o.F.,kg,,602,19,0,"33,16 €"
,13451,0,Reisstrohbesen,St,,604,19,0,"5,95 €"
,13452,0,Reinigungsbürste groß mit Wolle,St,,604,19,0,"3,00 €"
,13454,0,Spitzpaprika Cornaletto     IT,kg,L,101,7,0,"5,59 €"
,13459,0,Melonen Galia  8er          ES,St,L,300,7,0,"1,70 €"
,978396584189,0,frenchie Gardener,St,,605,7,0,"17,20 €"
,978389883854,0,zero waste Küche Mängelexemplar,St,,605,7,0,"18,70 €"
,978395910123,0,Pretty Natural,St,,605,7,0,"11,15 €"
,978394774712,0,München mit Vergnügen,St,,605,7,0,"16,40 €"
,426069565027,0,Fleckenseife (vegan),St,,603,19,0,"1,04 €"
,10875,0,Sonnenblumenbolognese,kg,,300,7,0,"22,50 €"
,401553305166,0,Hygge Glühwein weiß,St,VOE,402,7,0,"2,85 €"
,401553305164,0,Hygge Glühwein Rot,St,VOE,402,7,0,"2,85 €"
,401553304878,0,Apfel Gapefruit Schorle,"0,5l",VOE,501,19,0,"1,21 €"
,978389667687,0,die wahren Wunder der Erde,St,,605,7,0,"17,95 €"
,800733101035,0,Spender  Dekoglas,St,,604,19,0,"6,95 €"
,978380944932,0,Leckere Rezepte mit Hülsenfrüchten,St,,605,7,0,"5,83 €"
,403789222551,0,Spülbürste Ersatzkopf 5cm,St,,604,19,0,"2,00 €"
,403789222541,0,Spülbürste Ersatzkopf 4cm,St,,604,19,0,"1,80 €"
,403789222540,0,"Spülbürste Holz ,mit Griff 4 cm hart",St,,604,7,0,"2,20 €"
,410406003210,0,Winter Jogurt Kokos Tonka,St,,102,7,0,"1,62 €"
,403789222600,0,Topfbürste Motiv Redecker,St,,604,19,0,"1,85 €"
,403789202600,0,Gemüsebürste,St,,604,19,0,"2,35 €"
,403789272506,0,Kindernagelbürste,St,,600,19,0,"2,45 €"
,12479,0,Sparschäler,St,,604,19,0,"3,75 €"
,12480,0,Nussknacker,St,,604,19,0,"7,25 €"
,12482,0,Schafm.seife Lämmchen,St,,604,19,0,"1,35 €"
,12483,0,Schafm.seife Entchen,St,,604,19,0,"1,30 €"
,12484,0,Reinigungsbürste klein mit Wolle,St,,604,19,0,"1,80 €"
,401973601474,0,Streich's drauf Papucchini,135g,,302,7,0,"1,58 €"
,13139,0,"Hanfsamen, ganz",Kg,,201,7,0,"5,98 €"
,12476,0,Neutral Körperlotion,kg,,602,7,0,"17,00 €"
,978394887714,0,das Eis mit dem Knacks,St,,605,7,0,"7,85 €"
,978394887707,0,Drei kunterbunte Drachen,St,,605,7,0,"7,85 €"
,978394887712,0,Geraldine ein Einhorn,St,,605,7,0,"4,85 €"
,978394887704,0,"Geraldine, Greta",St,,605,7,0,"3,05 €"
,401553305138,0,Haferdrink mit calciumreicher Rotalge,"0,98l",VOE,102,19,0,"1,60 €"
,12487,0,Brottüte,St,,601,19,0,"0,10 €"
,401553304418,0,Ahornsirup Grad B,330ml,VOE,401,7,0,"5,93 €"
,426071969012,0,Alpenkräuter Salz,50g,,301,7,0,"4,08 €"
,426011110233,0,Sweet Kashmir,50g,,301,7,0,"4,92 €"
,426011111008,0,Garam Masala,50g,,301,7,0,"4,56 €"
,426011110238,0,Chai Tee,50g,,301,7,0,"4,56 €"
,12488,0,"Nussmix Roasted Classic, Bio",kg,,303,7,0,"16,39 €"
,12489,0,gebrannte Mandeln,kg,,303,7,0,"19,30 €"
,12490,0,Dill Bio,kg,,301,7,0,"30,30 €"
,426035558652,0,Brat- und Backöl Mehrweg,St,BPL,302,7,0,"2,93 €"
,978346200255,0,das Ende des Kapitalismus,St,,605,7,0,"17,90 €"
,404912818397,0,Schutzengel - Keks,270g,,401,7,0,"5,29 €"
,12491,0,Saisonkalender,St,,606,19,0,"15,00 €"
,12493,0,Kinderschürze,St,,604,19,0,"12,00 €"
,12494,0,Schoko-Lutscher,St,,402,7,0,"1,03 €"
,426035558651,0,Brat Olivenöl Mehrweg,St,,302,7,0,"7,05 €"
,426048563166,0,Ananas Fruit Balls in Schokolade,100g,FAQ,402,7,0,"2,39 €"
,426048563165,0,Mango Fruit Balls in Schokolade,100g,FAQ,402,7,0,"2,80 €"
,426051526017,0,Pastete mit feinen Zutaten,140g,HED,302,7,0,"2,33 €"
,426051526019,0,Currywurst mit feinen Zutaten,140g,HED,302,7,0,"2,33 €"
,426051526021,0,Chorizo mit feinen Zutaten,140g,HED,302,7,0,"2,33 €"
,10640,0,Orechiette semola,kg,BYO,203,7,0,"2,39 €"
,12496,0,Fabel-Schminkstift - als 3er Setbox (ausgelistet),St,,602,19,0,"11,76 €"
,426075899032,0,Aceto Balsamico,500ml,bana,302,7,0,"3,05 €"
,426075899036,0,Condimento Bianco,500ml,,302,7,0,"3,15 €"
,12497,0,Limetten,kg,,101,7,0,"4,20 €"
,426062641310,0,matabooks A5 Blossom Blue,St,,600,19,0,"11,99 €"
,12498,0,Rosenkohl,kg,,101,7,0,"4,40 €"
,12499,0,Portion Butter,St,,102,7,0,"0,50 €"
,426077054011,0,Grüne Oliven entsteint (klein),130g,,302,7,0,"3,05 €"
,426074197120,0,feste Körperbutter Orange&Minze Nachfüller,40g,,602,19,0,"4,95 €"
,426074197164,0,feste Körperbutter Orange&Minze,40g,,602,19,0,"6,45 €"
,426034815344,0,Hefeflocken,kg,,201,7,0,"19,20 €"
,426034815359,0,Paprika süß (gemahlen) Bio,kg,bana,301,7,0,"16,00 €"
,426034815429,0,Chiasamen,kg,,304,7,0,"6,50 €"
,426034815451,0,"Pretzels (Cheese&Onion), 2,5kg, Eimer",kg,,2000,7,0,"13,50 €"
,426034815459,0,Milchreis,kg,bana,203,7,0,"3,70 €"
,426034815462,0,Risotto-Reis,kg,bana,203,7,0,"3,75 €"
,426034815465,0,Langkornreis natur,kg,bana,203,7,0,"2,00 €"
,426034815476,0,Cornflakes,kg,bana,202,7,0,"4,85 €"
,426034815507,0,Minibrezeln Dinkel,kg,,303,7,0,"7,07 €"
,426034815602,0,"Cashewkerne (Mexiko), 6kg",kg,,303,7,0,"17,84 €"
,426034815610,0,Nudeln (Penne),kg,bana,203,7,0,"1,89 €"
,426034815612,0,Nudeln (Fusilli),kg,bana,203,7,0,"1,89 €"
,426034815619,0,Sonnenblumenkerne,kg,bana,304,7,0,"2,10 €"
,426034815621,0,Leinsaat braun,kg,bana,304,7,0,"3,35 €"
,426034815630,0,Spiralen Vollkorn,kg,,203,7,0,"2,14 €"
,426034815657,0,Kakao ,kg,,401,7,0,"21,70 €"
,426034815669,0,"Feigen, getrocknet (ganz)",kg,RAP,303,7,0,"10,99 €"
,426034815708,0,Linsen rot,kg,DAV,304,7,0,"3,12 €"
,426034815713,0,Fruchtgummi (verschiedene Sorten),kg,,402,7,0,"10,75 €"
,426034815714,0,Erdbeerscheiben (gefriergetrocknet),30g,,303,7,0,"3,59 €"
,426034815716,0,Heidelbeeren (gefriergetrocknet),60g,,303,7,0,"5,85 €"
,426034815721,0,Nudeln (Farfalle),kg,ÖBS,203,7,0,"2,14 €"
,426034815786,0,"Sheabutter (Unverpackt e.V.), 230g",230g,,602,7,0,"3,00 €"
,426034815807,0,"Nudeln aus Kichererbsen (Fusilli), 10kg",kg,bana,203,7,0,"7,80 €"
,403402922000,0,Träublein,"0,75",,501,19,0,"6,38 €"
,426036585056,0,"Body Lotion (Coconut), 100ml",100ml,,602,19,0,"4,99 €"
,426036585066,0,Body Butter Shea 100 ml,St,,602,19,0,"4,99 €"
,426036585432,0,Hand Cream (Olive) 25ml,25ml,,602,19,0,"2,70 €"
,426036585474,0,"Beauty Cream, 50ml",50ml,,602,19,0,"9,99 €"
,426036585912,0,"Gummihandschuhe, Gr. L",St,,9999,19,0,"1,50 €"
,403312200021,0,Dinkel,kg,adm,201,7,0,"2,00 €"
,401933945166,0,Weiße Bohnen,kg,DAV,304,7,0,"4,50 €"
,11406,0,Pfand 15 Cent 19%,St,,9999,19,0,"0,15 €"
,11407,0,Pfand 8 Cent 19%,St,,9999,19,0,"0,08 €"
,11408,0,Pfand 15 Cent 7%,St,,9999,7,0,"0,15 €"
,11410,0,Pfand 25 Cent 19%,St,,9999,19,0,"0,25 €"
,426039779002,0,Zahnbürste hellblau -mittel,St,HYD,602,19,0,"1,50 €"
,426039779001,0,Zahnbürste -weich-,St,HYD,602,19,0,"1,50 €"
,426039779005,0,Zahnbürste rot -mittelweich,St,HYD,602,19,0,"1,50 €"
,426039779011,0,Kinder-Zahnbürste weich,St,HYD,602,19,0,"1,50 €"
,426039779254,0,"Interdental-Bürste 0,40",St,HYD,602,19,0,"1,11 €"
,12288,0,Dinkel Spirelli,kg,,203,7,0,"4,80 €"
,11088,0,Schokolade versch. Sorten,kg,,402,7,0,"21,35 €"
,978395728449,0,Auszeit Deutschland,St,,605,7,0,"18,70 €"
,702,0,"Brezn, Bio",St,BROT,104,7,0,"0,90 €"
,705,0,"Semmel, Bio",St,BROT,104,7,0,"0,87 €"
,712,0,"Laugenstange, Bio",St,BROT,104,7,0,"0,78 €"
,12444,0,Mammalade 400g,400g,,401,7,0,"3,74 €"
,714,0,"Brotzeitstangerl, Bio",St,BROT,104,7,0,"3,50 €"
,715,0,"Dinkelblüte, Bio",St,BROT,104,7,0,"4,33 €"
,716,0,"Baguette, Bio",St,BROT,104,7,0,"3,59 €"
,717,0,"Pfundskerl, Bio",St,BROT,104,7,0,"3,65 €"
,718,0,"Roggennatur, Bio",kg,BROT,104,7,0,"5,28 €"
,720,0,"Altbayerischer Bauernlaib, Bio",kg,BROT,104,7,0,"5,76 €"
,721,0,"Braumeister, Bio",kg,BROT,104,7,0,"6,15 €"
,722,0,"Chia Nuss, Bio",kg,BROT,104,7,0,"7,93 €"
,723,0,"Athlet, Bio",Stk,BROT,104,7,0,"5,15 €"
,724,0,"Vollkornkraft, Bio",Stk,BROT,104,7,0,"6,85 €"
,11449,0,Nackthafer,kg,,201,7,0,"2,96 €"
,11451,0,Belugalinsen,kg,,304,7,0,"5,66 €"
,11452,0,Aprikosenhälften wild,kg,,303,7,0,"10,24 €"
,11455,0,Erdmandeln geschält,kg,,303,7,0,"9,60 €"
,11432,0,Studierendenfutter,kg,,303,7,0,"10,63 €"
,11434,0,Cashewkerne,kg,,303,7,0,"14,99 €"
,11436,0,Mandeln,kg,,303,7,0,"10,59 €"
,11440,0,Walnusskerne,kg,,303,7,0,"9,35 €"
,11446,0,Sultaninen,kg,,303,7,0,"6,90 €"
,11447,0,Cranberries,kg,,303,7,0,"14,60 €"
,11448,0,Sauerkirschen,kg,,303,7,0,"14,53 €"
,11456,0,"Mango, getrocknet",kg,,303,7,0,"12,03 €"
,11457,0,Kokoschips,kg,bana,303,7,0,"12,52 €"
,11458,0,"Aprikosen, getrocknet",kg,,303,7,0,"13,90 €"
,11459,0,Pinienkerne,kg,,303,7,0,"42,90 €"
,11460,0,Elimba Kugel,St,,402,7,0,"2,01 €"
,11465,0,ShampooBit verschiedene Sorten,55 g,RSR,602,19,0,"4,05 €"
,11469,0,ShampooBit Conditioner 60g,60 g,RSR,602,19,0,"5,19 €"
,426049303151,0,Cashew Rosmarin & Thymian,St,FF,303,7,0,"3,35 €"
,11475,0,CleansingBit verschiedene Sorten,65 g,RSR,602,19,0,"5,19 €"
,402694100406,0,Peperoni mild,St,BOY,302,7,0,"2,68 €"
,11477,0,Bodybutter verschiedene Sorten,70 g,RSR,602,19,0,"5,24 €"
,426041898486,0,Bademilch Baby,150 g,RSR,602,19,0,"3,36 €"
,11506,0,rebeutel einzeln,St,RBT,601,19,0,"1,75 €"
,11514,0,"Honig Waldblüte Gastrogebinde, Bio",kg,siz,401,7,0,"12,65 €"
,74283268384,0,"Honig Perlmutt, Bio",400 g,,401,7,0,"5,96 €"
,11517,0,Bio-Honig Bernstein Akazie (klar) - 400g,400g,siz,401,7,0,"6,64 €"
,11519,0,Bio-Honig Bernstein Wald (klar) - 400g,400g,siz,401,7,0,"6,64 €"
,74283268385,0,"Honig Bernstein , Bio",400g,siz,401,7,0,"6,64 €"
,71053582405,0,Nussmus,kg,,303,7,0,"17,52 €"
,11523,0,Knoblauch ,kg,br,101,7,0,"10,50 €"
,11525,0,Auberginen,kg,L,101,7,0,"4,60 €"
,11526,0,Rettich weiß,St,L,101,7,0,"1,35 €"
,11529,0,Quinoa,kg,,201,7,0,"6,00 €"
,11532,0,Zucchini,kg,br,101,7,0,"4,20 €"
,400930965452,0,Zuckermais im Pfandglas,500g,MAR,302,7,0,"2,49 €"
,978374232141,0,Wochenmarkt das Backbuch,St,,605,7,0,"14,95 €"
,12500,0,Weckglas,St,,601,19,0,"1,00 €"
,426077054232,0,Himbeeren (gefriergetrocknet),45g,TAA,303,7,0,"5,24 €"
,426077054233,0,Erdbeeren (gefriergetrocknet),35g,TAA,303,7,0,"3,55 €"
,426000764571,0,Seife Bonbon mit Karitébutter,100g,sdm,602,19,0,"1,45 €"
,12502,0,Teedose gold,St,,601,19,0,"2,00 €"
,426065073198,0,Kimchi Spicy,St,,302,7,0,"3,30 €"
,403789221822,0,Spülbürstengriff sand,St,,604,19,0,"3,95 €"
,403789221811,0,Spülbürstengriff dunkelblau,St,,604,19,0,"3,95 €"
,403789221855,0,Spülbürstengriff schilf,St,,604,19,0,"3,95 €"
,403789250130,0,Kupfertuch 2er Set,St,,604,19,0,"3,95 €"
,403789252123,0,Spültuch,St,,604,19,0,"6,95 €"
,403789202140,0,Obst und Gemüsebeutel,St,,604,19,0,"5,75 €"
,12505,0,Kindermalbürste,St,,604,19,0,"2,75 €"
,12506,0,Flaschenbürste,St,,604,19,0,"1,90 €"
,426065073077,0,ingwer karotten,220g,com,302,7,0,"2,63 €"
,426065073094,0,"Kimchi, daikon",220g,com,302,7,0,"3,88 €"
,403312200498,0,Basis Müsli,5kg,,202,7,0,"12,50 €"
,426026906002,0,Sirup Aronia,330ml,HLA,501,19,0,"3,45 €"
,12509,0,Latte macchiato,St,,700,19,0,"1,50 €"
,978383104404,0,"Linsen, Bohnen, Erbsen und Co",St,,605,7,0,"14,90 €"
,426069772020,0,Oregano,St,,600,7,0,"2,29 €"
,426069772034,0,Thymian Bio,St,,600,7,0,"2,29 €"
,426069772153,0,Aubergine,St,,101,7,0,"2,29 €"
,401553304938,0,Care Bitter Kräuter,330ml,VOE,501,19,0,"3,24 €"
,12511,0,Kürbiskerne zum Knabbern,kg,,402,7,0,"20,87 €"
,12510,0,Kürbiskerne dunkle Schokolade Chili,kg,,402,7,0,"19,30 €"
,426065073105,0,"Kimchi, original",240g,com,302,7,0,"3,88 €"
,426049122294,0,Deostick Sensitive Highland Breeze,40g,BDN,602,19,0,"3,85 €"
,426065073104,0,goji rote beete,220g,com,101,7,0,"2,63 €"
,11938,0,Wirsing,kg,,101,7,0,"2,31 €"
,426001264577,0,Mein kleiner Teekräutergarten Saatgut Box,St,,600,7,0,"7,90 €"
,978344627267,0,Stumme Erde,St,,605,7,0,"18,70 €"
,11515,0,gebrannte Nüsse,kg,,303,7,0,"19,30 €"
,426049122293,0,Deostick Sensitive Lemon&Lime,40g,BDN,602,19,0,"3,85 €"
,978383218217,0,die Wahrheit über unser Essen,St,,605,7,0,"18,70 €"
,978342678627,0,Food Crash,St,,605,7,0,"8,20 €"
,401719446544,0,Joghurt Drachenfrucht Guave,500g,,102,7,0,"1,54 €"
,401872200082,0,Kichererbsen Fusilli,250g,ALU,203,7,0,"1,85 €"
,978344627588,0,Eva,St,,605,7,0,"17,90 €"
,426011229631,0,Jalapeno Mayonnaise,200ml,MKS,302,7,0,"2,19 €"
,871357600368,0,Kokos Schlagcreme,400g,TER,302,7,0,"2,30 €"
,401553305502,0,Natives Olivenöl extra,"0,75l",VOE,302,7,0,"11,28 €"
,978395728660,0,die grüne Küche,St,,605,7,0,"26,15 €"
,978384263027,0,Bio-Lebensmittel,St,,605,7,0,"12,70 €"
,978388117184,0,my little green Kitchen,St,,605,7,0,"22,45 €"
,425008578209,0,Reissirup,500g,BTR,401,7,0,"2,14 €"
,978383218182,0,Wildes Land,St,,605,7,0,"17,52 €"
,978335103873,0,Geflochtenes Süßgras,St,,605,7,0,"20,90 €"
,426049303333,0,Fairchoc Erdnuss,250g,FFF,402,7,0,"3,33 €"
,401973601276,0,BBQ Beans,370g,ZWE,302,7,0,"2,07 €"
,426049303332,0,Fairchoc Haselnuss,250g,FFF,401,7,0,"3,99 €"
,426049303334,0,Fairchoc Cashew,250g,FFF,401,7,0,"3,99 €"
,426026906004,0,Sirup Holunderblüte,330ml,HLA,501,19,0,"3,45 €"
,426065073075,0,"Kimchi, mild",240g,com,302,7,0,"3,10 €"
,11521,0,Roter Reis,kg,,203,7,0,"5,30 €"
,426076494011,0,Birnen Schnitten,220g,DDO,302,7,0,"1,82 €"
,426049122295,0,Deostick Sensitive Japanese Cherry Blossom,40g,,602,19,0,"3,85 €"
